gene_id	n_AG	n_GA	mean_alt_ratio_AG	mean_alt_ratio_GA	beta_GA_vs_AG	p_value	q_value	gene_name	gene_product
gene-LOC105317573	6	4	0.462585034013605	0.513274336283186	0.203049972603395	0.632205101782995	0.890210027252066	LOC105317573	protein CIP2A homolog L
gene-LOC105317576	1	0						LOC105317576	uncharacterized LOC105317576
gene-LOC105317581	9	9	0.492656875834446	0.479111111111111	-0.0542296099881111	0.540520492763006	0.854630663228217	LOC105317581	kinesin-like protein KIF14
gene-LOC105317583	6	9	0.485013623978202	0.499159663865546	0.0566021170648522	0.787299764177212	0.943000946483091	LOC105317583	vacuolar ATPase assembly integral membrane protein VMA21
gene-LOC105317592	9	9	0.510852302805717	0.492665655032878	-0.0727555140166984	0.621961238343472	0.884144725248122	LOC105317592	sortilin-related receptor
gene-LOC105317598	8	9	0.503010033444816	0.579324462640737	0.307960584474853	0.131137722964117	0.567488271069778	LOC105317598	tyrosine-protein kinase RYK
gene-LOC105317606	6	8	0.589259796806967	0.389423076923077	-0.810644193744648	0.0916503237529884	0.522685679704141	LOC105317606	rab proteins geranylgeranyltransferase component A 2
gene-LOC105317617	6	8	0.526041666666667	0.544959128065395	0.0760625438068283	0.795603238943683	0.945158193895266	LOC105317617	uncharacterized LOC105317617
gene-LOC105317618	8	6	0.477178423236515	0.507798960138648	0.122548149444089	0.317128467387435	0.738986704745967	LOC105317618	ubiquitin carboxyl-terminal hydrolase 21
gene-LOC105317623	8	6	0.531095755182626	0.571428571428571	0.163138316325098	0.341435092570888	0.751898866202117	LOC105317623	traB domain-containing protein
gene-LOC105317630	9	9	0.497879937513948	0.473637702503682	-0.0970667646545828	0.114940481004971	0.55899687253878	LOC105317630	glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase 1
gene-LOC105317639	7	9	0.472365038560411	0.447690857681433	-0.09935237530278	0.368178143983546	0.767265556327248	LOC105317639	uncharacterized LOC105317639
gene-LOC105317654	5	8	0.437956204379562	0.428660565723794	-0.0378572455732316	0.574634087512897	0.86425704654829	LOC105317654	large ribosomal subunit protein uL6
gene-LOC105317658	3	7	0.468965517241379	0.422459893048128	-0.188385657980768	0.545662481752746	0.85671222572594	LOC105317658	lactase/phlorizin hydrolase
gene-LOC105317659	8	7	0.426512968299712	0.461656441717791	0.142416592243018	0.53363409230796	0.852215880717546	LOC105317659	uncharacterized LOC105317659
gene-LOC105317663	8	7	0.526132404181185	0.67175572519084	0.611511747705772	0.0784782009046587	0.507131546535622	LOC105317663	nucleoside hydrolase
gene-LOC105317665	9	7	0.436958614051973	0.417515274949084	-0.0794671824828524	0.740559877330033	0.931443779286643	LOC105317665	mesoderm-specific transcript homolog protein
gene-LOC105317666	5	7	0.440618411806044	0.53801652892562	0.391012814264932	0.00182843438223568	0.226459017719853	LOC105317666	centrosomal protein of 41 kDa
gene-LOC105317678	5	4	0.427480916030534	0.53921568627451	0.449322006287807	0.123244009495367	0.55899687253878	LOC105317678	serine-rich adhesin for platelets
gene-LOC105317679	7	7	0.419689119170984	0.438006952491309	0.0747950213047605	0.858301321544595	0.965348266186383	LOC105317679	carnosine synthase 1
gene-LOC105317681	9	9	0.562444113263785	0.460155490767736	-0.410804032567955	0.0623630806776918	0.477849820286192	LOC105317681	protein fantom
gene-LOC105317684	9	7	0.514309835373575	0.54469525959368	0.122004550519058	0.115447487621697	0.55899687253878	LOC105317684	guanine nucleotide-binding protein G(s) subunit alpha
gene-LOC105317685	8	9	0.438610343466246	0.415077989601387	-0.0962082727383951	0.442376627234049	0.81549980270605	LOC105317685	H(+)/Cl(-) exchange transporter 7
gene-LOC105317688	8	7	0.479408658922915	0.598017621145375	0.479623942351075	0.00579659103771378	0.266172200248472	LOC105317688	mediator of RNA polymerase II transcription subunit 24
gene-LOC105317691	5	6	0.491202346041056	0.384068278805121	-0.43712152088096	0.0371085640223965	0.408965974925027	LOC105317691	signal peptidase complex catalytic subunit SEC11A
gene-LOC105317734	9	9	0.465040650406504	0.50386398763524	0.155522198182211	0.0060718827989336	0.266172200248472	LOC105317734	integrator complex subunit 11
gene-LOC105317737	8	5	0.334375	0.370044052863436	0.156435499724792	0.370276533485636	0.76788197642496	LOC105317737	hepatocyte growth factor receptor
gene-LOC105317739	8	9	0.418344928597583	0.426157237325496	0.0320242846055052	0.816661660101132	0.953111001530841	LOC105317739	interferon-related developmental regulator 2
gene-LOC105317745	6	4	0.391061452513966	0.327102803738318	-0.278465416834837	0.295034942377019	0.729464433944575	LOC105317745	ninjurin-1
gene-LOC105317749	9	9	0.478031634446397	0.467428571428571	-0.0425404055761369	0.667577259468568	0.90262968159578	LOC105317749	F-box only protein 7
gene-LOC105317751	2	6						LOC105317751	transcription factor GATA-3
gene-LOC105317753	7	2						LOC105317753	ruvB-like 1
gene-LOC105317754	9	5	0.459729570840682	0.472466960352423	0.0511877033274777	0.654751638898095	0.90104209720199	LOC105317754	protein transport protein Sec61 subunit alpha
gene-LOC105317755	4	2						LOC105317755	coiled-coil domain-containing protein 146
gene-LOC105317759	8	7	0.535799522673031	0.468525179856115	-0.269509519776539	0.0729765772619689	0.491400825988295	LOC105317759	lariat debranching enzyme A
gene-LOC105317773	9	7	0.478818998716303	0.376068376068376	-0.421495067272211	0.0710181595957201	0.489294231920513	LOC105317773	leukotriene A-4 hydrolase
gene-LOC105317780	9	9	0.444826457105436	0.507462686567164	0.25144949584897	0.00848512353158564	0.283842157540263	LOC105317780	ultra-long-chain fatty acid omega-hydroxylase
gene-LOC105317783	9	8	0.546116504854369	0.531946508172363	-0.0570314377705377	0.778218915579541	0.940371751526568	LOC105317783	hexokinase type 2
gene-LOC105317788	5	4	0.488439306358382	0.557788944723618	0.278444404484884	0.520154984254743	0.84749171178564	LOC105317788	cyclin-dependent kinase 7
gene-LOC105317791	7	7	0.532608695652174	0.460176991150443	-0.290250327994911	0.298734917409877	0.73011828238585	LOC105317791	A-kinase anchor protein 7
gene-LOC105317795	9	9	0.485278146494509	0.491464740106131	0.0247600835861215	0.586547817373213	0.868435018995689	LOC105317795	serine/arginine-rich splicing factor 2
gene-LOC105317796	8	0						LOC105317796	ribonuclease P protein subunit p20
gene-LOC105317802	5	1						LOC105317802	uncharacterized LOC105317802
gene-LOC105317804	9	9	0.502378686964796	0.4755859375	-0.10724879106761	0.305721331822706	0.732636541989452	LOC105317804	protein PAXX
gene-LOC105317808	8	9	0.497824547202267	0.471831586124606	-0.104091219563515	0.142645952241565	0.584068873346405	LOC105317808	ras guanyl-releasing protein 3
gene-LOC105317809	9	8	0.482673267326733	0.475025484199796	-0.0306465731370259	0.773755767009308	0.940371751526568	LOC105317809	rho GTPase-activating protein 11A
