gene	ePST	epst_class
ORTHO_000317	0.38656424752764	Strong divergence
ORTHO_000318	0.326549015313879	Strong divergence
ORTHO_000319	0.0671648426695117	Weak differentiation
ORTHO_000320	0.0247785882725811	Mostly plastic / shared regulation
ORTHO_000321	0.157406536774384	Regulatory divergence
ORTHO_000322	0.00306067273886304	Mostly plastic / shared regulation
ORTHO_000323	0.198538170964415	Regulatory divergence
ORTHO_000324	0.0960718147935172	Weak differentiation
ORTHO_000325	0.0293207219216859	Mostly plastic / shared regulation
ORTHO_000326	0.0169105343644753	Mostly plastic / shared regulation
ORTHO_000327	0.238288623016944	Regulatory divergence
ORTHO_000328	0.2772052006115	Regulatory divergence
ORTHO_000329	0.227513832185401	Regulatory divergence
ORTHO_000330	0.413608173362329	Strong divergence
ORTHO_000331	0.162805210941936	Regulatory divergence
ORTHO_000332	0.413125315700217	Strong divergence
ORTHO_000333	0.154924126834903	Regulatory divergence
ORTHO_000334	0.249104138367701	Regulatory divergence
ORTHO_000335	0.174994427986824	Regulatory divergence
ORTHO_000336	0.280899076078386	Regulatory divergence
ORTHO_000337	0.0674998248040338	Weak differentiation
ORTHO_000338	0.181936452743208	Regulatory divergence
ORTHO_000339	0.280708643414315	Regulatory divergence
ORTHO_000340	0.0378610576297945	Mostly plastic / shared regulation
ORTHO_000341	0.297683970148935	Regulatory divergence
ORTHO_000342	0.022255623294188	Mostly plastic / shared regulation
ORTHO_000343	0.364071841438301	Strong divergence
ORTHO_000344	0.420316448146715	Strong divergence
ORTHO_000345	0.0321812276171866	Mostly plastic / shared regulation
ORTHO_000346	0.029963306725641	Mostly plastic / shared regulation
ORTHO_000347	0.259399903320646	Regulatory divergence
ORTHO_000348	0.346237220268825	Strong divergence
ORTHO_000349	0.448626975731881	Strong divergence
ORTHO_000350	0.000935245093732759	Mostly plastic / shared regulation
ORTHO_000351	0.00919816041324379	Mostly plastic / shared regulation
ORTHO_000352	7.19759783927148e-07	Mostly plastic / shared regulation
ORTHO_000353	0.0610104820528316	Weak differentiation
ORTHO_000354	0.749014799837531	Strong divergence
ORTHO_000355	0.546734049952611	Strong divergence
ORTHO_000356	0.0124219759597703	Mostly plastic / shared regulation
ORTHO_000357	1.52739560225203e-06	Mostly plastic / shared regulation
ORTHO_000358	0.00799743004488007	Mostly plastic / shared regulation
ORTHO_000359	0.11943788335982	Weak differentiation
ORTHO_000360	0.209987095695853	Regulatory divergence
ORTHO_000361	0.0876182152625117	Weak differentiation
ORTHO_000362	0.00522832815394752	Mostly plastic / shared regulation
ORTHO_000363	0.289769497324858	Regulatory divergence
ORTHO_000364	0.203897485228064	Regulatory divergence
ORTHO_000366	0.06868153828636	Weak differentiation
ORTHO_000367	0.325417109026193	Strong divergence
ORTHO_000368	0.382827515622536	Strong divergence
ORTHO_000369	0.500886131784928	Strong divergence
ORTHO_000370	0.138262000676788	Regulatory divergence
ORTHO_000371	0.208948280161221	Regulatory divergence
ORTHO_000372	5.49319269952915e-05	Mostly plastic / shared regulation
ORTHO_000373	0.0622215866776231	Weak differentiation
ORTHO_000374	0.0369119470399243	Mostly plastic / shared regulation
ORTHO_000375	0.00857204686375905	Mostly plastic / shared regulation
ORTHO_000376	0.0679976773047008	Weak differentiation
ORTHO_000377	0.23023658126406	Regulatory divergence
ORTHO_000378	0.010066600205922	Mostly plastic / shared regulation
ORTHO_000379	0.566747320763779	Strong divergence
ORTHO_000380	0.00470411178509415	Mostly plastic / shared regulation
ORTHO_000381	0.642757031171508	Strong divergence
ORTHO_000382	0.310318290993787	Strong divergence
ORTHO_000383	0.167827255129383	Regulatory divergence
ORTHO_000384	0.0684625337017027	Weak differentiation
ORTHO_000385	0.470623966611571	Strong divergence
ORTHO_000386	0.0764819590160379	Weak differentiation
ORTHO_000387	0.0422680450331386	Mostly plastic / shared regulation
ORTHO_000388	0.422557672953742	Strong divergence
ORTHO_000389	0.134947054097171	Regulatory divergence
ORTHO_000390	0.35186270020091	Strong divergence
ORTHO_000391	0.0645029489315947	Weak differentiation
ORTHO_000392	0.115257448469505	Weak differentiation
ORTHO_000393	0.00963909182524877	Mostly plastic / shared regulation
ORTHO_000394	0.109555472600901	Weak differentiation
ORTHO_000395	0.0886076772081707	Weak differentiation
ORTHO_000396	0.295179213225138	Regulatory divergence
ORTHO_000397	0.152300700989155	Regulatory divergence
ORTHO_000398	0.0958666600916179	Weak differentiation
ORTHO_000399	0.211097034778818	Regulatory divergence
ORTHO_000400	0.510602736635351	Strong divergence
ORTHO_000401	0.238505408398255	Regulatory divergence
ORTHO_000402	0.00382645278624002	Mostly plastic / shared regulation
ORTHO_000403	0.540435253130162	Strong divergence
ORTHO_000404	0.0374276451115801	Mostly plastic / shared regulation
ORTHO_000405	0.34285902861217	Strong divergence
ORTHO_000406	0.452938808210271	Strong divergence
ORTHO_000407	0.476186146767728	Strong divergence
ORTHO_000408	0.400616460079586	Strong divergence
ORTHO_000409	0.0305410488281258	Mostly plastic / shared regulation
ORTHO_000410	0.0668867099656153	Weak differentiation
ORTHO_000411	0.196462097020594	Regulatory divergence
ORTHO_000412	0.333298718420106	Strong divergence
ORTHO_000413	0.59265326274873	Strong divergence
ORTHO_000414	0.0892189629500567	Weak differentiation
ORTHO_000415	0.426025418418449	Strong divergence
ORTHO_000416	0.0139249087113343	Mostly plastic / shared regulation
ORTHO_000417	0.139852018599834	Regulatory divergence
ORTHO_000418	0.00198130824324047	Mostly plastic / shared regulation
ORTHO_000419	0.0696921412063577	Weak differentiation
ORTHO_000420	0.250018699452664	Regulatory divergence
ORTHO_000421	0.0117619988403311	Mostly plastic / shared regulation
ORTHO_000422	0.230907208586674	Regulatory divergence
ORTHO_000423	0.484911077523636	Strong divergence
ORTHO_000424	0.067136105731655	Weak differentiation
ORTHO_000425	0.00569548644293568	Mostly plastic / shared regulation
ORTHO_000426	0.00314138441251763	Mostly plastic / shared regulation
ORTHO_000427	0.000439359155888496	Mostly plastic / shared regulation
ORTHO_000428	0.229399977034732	Regulatory divergence
ORTHO_000429	0.165700432173257	Regulatory divergence
ORTHO_000430	1.08726124933889e-05	Mostly plastic / shared regulation
ORTHO_000431	0.0196040979398638	Mostly plastic / shared regulation
ORTHO_000432	0.00932432046084342	Mostly plastic / shared regulation
ORTHO_000433	0.0496131347128319	Mostly plastic / shared regulation
ORTHO_000434	0.291077614105619	Regulatory divergence
ORTHO_000435	0.288443901617228	Regulatory divergence
ORTHO_000436	0.309857659701564	Strong divergence
ORTHO_000437	0.100018768693359	Weak differentiation
ORTHO_000438	0.0563215041810236	Weak differentiation
ORTHO_000439	0.553388779217703	Strong divergence
ORTHO_000440	0.288904884345907	Regulatory divergence
ORTHO_000441	0.0909713820119191	Weak differentiation
ORTHO_000442	0.00329319545318406	Mostly plastic / shared regulation
ORTHO_000444	0.190199896116066	Regulatory divergence
ORTHO_000445	0.0690945552854242	Weak differentiation
